x1,x2,y
4.245834119195975,3.2322269854150485,1.0
0.2217792198507433,1.739772489777339,-1.0
5.685825769357607,4.112597162630772,1.0
3.4592833349719565,4.401638197873778,1.0
6.659699856003124,5.167895507483067,1.0
6.404023546044534,7.4722471130557615,1.0
0.17091705439195276,0.641469857582933,-1.0
6.5013929953146725,4.842156824753615,1.0
4.717629686597232,6.883560059832247,1.0
6.417982140965303,5.8349713128901035,1.0
-1.4258264776835148,-1.2435255811381463,-1.0
1.246498769734548,0.32423555051804814,-1.0
3.7185740279317043,3.8917191962834417,1.0
-2.083186339883958,-0.16076329307923073,-1.0
-0.4242121872460405,-0.2828567167214089,-1.0
-1.382289359730715,-3.0237544561232244,-1.0
-1.4854928107890728,-0.7820592409761912,-1.0
2.224801557705509,-0.11938869383781539,-1.0
4.847733576868646,7.155165027120663,1.0
-1.5520089479713117,1.0296016745629164,-1.0
1.0062553314391698,-0.7631444405699872,-1.0
-0.83428716146326,2.1222748148966457,-1.0
-2.1908877061565986,1.8337955516447029,-1.0
-1.6006125226958052,2.5836229199151632,-1.0
7.532425968419284,5.562162381094181,1.0
3.922397149346564,2.8524787147116,1.0
7.234187105187537,5.3363523478471215,1.0
-0.10446250176822122,-0.12497598226495413,-1.0
1.6536671176708344,-1.1017608287055347,-1.0
-0.40363542586871487,-0.5270226365171367,-1.0
2.6575995510850787,4.131404715783484,1.0
4.997755250133784,5.270966708927694,1.0
3.7593896855011337,7.331273343477637,1.0
1.9956466887561604,-0.6859364627790859,-1.0
-2.1215791443615113,-0.9481653751237216,-1.0
4.724337824481677,3.747694234128474,1.0
-3.939817158004489,-0.06011165023550751,-1.0
3.3412614855414375,4.8761135782517515,1.0
5.887326470465846,3.003502864922388,1.0
8.250491672822331,4.609685385275909,1.0
