fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
0.35398230088495575,0.23972602739726026,0.27,0.0958904109589041,0.07190635451505016,0.18309859154929578,0.07773851590106007,0.3737151248164502,0.3464566929133859,0.28143712574850305,0.4307692307692306,0.4
0.17699115044247787,0.5034246575342466,0.02,0.10273972602739727,0.08361204013377928,0.19718309859154928,0.06007067137809187,0.4552129221732745,0.6299212598425198,0.16167664670658682,0.39999999999999997,0.6
0.5221238938053098,0.0821917808219178,0.47,0.08219178082191782,0.09030100334448161,0.07042253521126761,0.0636042402826855,0.5675477239353917,0.3228346456692912,0.3413173652694611,0.39999999999999997,0.8
0.32743362831858414,0.3458904109589041,0.2,0.0410958904109589,0.1137123745819398,0.36619718309859156,0.3992932862190813,0.5234948604992649,0.3307086614173229,0.4730538922155689,0.10769230769230759,0.2
0.4778761061946903,0.19863013698630136,0.45,0.363013698630137,0.09866220735785954,0.07042253521126761,0.028268551236749116,0.510279001468431,0.37007874015748027,0.09580838323353293,0.5230769230769231,0.8
0.4513274336283185,0.2808219178082192,0.6,0.07534246575342467,0.04515050167224081,0.056338028169014086,0.045936395759717315,0.4243759177679899,0.4409448818897636,0.31736526946107785,0.6153846153846154,0.6
0.27433628318584075,0.09589041095890412,0.3,0.0547945205479452,0.07859531772575251,0.2676056338028169,0.11307420494699646,0.35462555066079393,0.4330708661417323,0.0838323353293413,0.3692307692307693,0.6
0.0707964601769912,0.4897260273972603,0.08,0.020547945205479447,0.0568561872909699,0.16901408450704225,0.30742049469964666,0.17107195301027528,0.6535433070866141,0.31137724550898205,0.7076923076923076,0.8
0.25663716814159293,0.3150684931506849,0.56,0.15068493150684933,0.2357859531772575,0.056338028169014086,0.028268551236749116,0.34434654919236296,0.37007874015748027,0.41916167664670656,0.4923076923076922,0.6
0.053097345132743404,0.2465753424657534,0.04,0.04794520547945206,0.07023411371237458,0.2535211267605634,0.35335689045936397,0.19309838472834273,0.6299212598425198,0.17365269461077845,0.5846153846153844,0.8
0.21238938053097348,0.17808219178082194,0.49,0.10958904109589042,0.1421404682274246,0.4507042253521127,0.2791519434628975,0.45007342143905904,0.5118110236220473,0.2634730538922156,0.46153846153846156,0.6
0.19469026548672566,0.30136986301369867,0.22,0.06164383561643836,0.10367892976588629,0.19718309859154928,0.0636042402826855,0.3164464023494895,0.5196850393700787,0.2934131736526946,0.4307692307692306,0.6
0.4070796460176991,0.37671232876712335,0.1,0.14383561643835618,0.13210702341137123,0.15492957746478872,0.14840989399293286,0.6468428781204116,0.4488188976377953,0.125748502994012,0.16923076923076918,0.6
0.29203539823008856,0.2123287671232877,0.21,0.04794520547945206,0.15719063545150502,0.1267605633802817,0.10954063604240283,0.4794419970631463,0.33858267716535423,0.34730538922155696,0.16923076923076918,0.4
0.24778761061946908,0.45547945205479456,0.19,0.2945205479452055,0.137123745819398,0.2535211267605634,0.3250883392226148,0.5183553597650494,0.3307086614173229,0.11377245508982037,0.18461538461538451,0.6
0.2654867256637168,0.2123287671232877,0.31,0.08219178082191782,0.09531772575250838,0.16901408450704225,0.24028268551236748,0.42070484581497997,0.4094488188976376,0.125748502994012,0.23076923076923078,0.6
0.3628318584070796,0.13013698630136986,0.46,0.034246575342465745,0.07859531772575251,0.14084507042253522,0.06713780918727916,0.4794419970631463,0.48818897637795267,0.2574850299401198,0.26153846153846144,0.6
0.3008849557522124,0.47260273972602745,0.25,0.17123287671232876,0.10702341137123747,0.4647887323943662,0.2791519434628975,0.4853157121879605,0.35433070866141725,0.053892215568862256,0.12307692307692292,0.4
0.1858407079646018,0.37671232876712335,0.02,0.0684931506849315,0.08193979933110368,0.352112676056338,0.127208480565371,0.3538913362701952,0.5118110236220473,0.2934131736526946,0.38461538461538464,0.6
0.6460176991150443,0.17808219178082194,0.51,0.07534246575342467,0.1822742474916388,0.08450704225352113,0.04946996466431095,0.6997063142437637,0.39370078740157494,0.2574850299401198,0.3076923076923077,0.6
0.19469026548672566,0.363013698630137,0.02,0.08219178082191782,0.11036789297658864,0.09859154929577464,0.03180212014134275,0.3604992657856081,0.48031496062992135,0.17365269461077845,0.3076923076923077,0.6
0.6460176991150443,0.17123287671232876,0.69,0.0958904109589041,0.11036789297658864,0.15492957746478872,0.0636042402826855,0.42070484581497997,0.2047244094488188,0.19161676646706588,0.676923076923077,0.6
0.0707964601769912,0.4246575342465754,0.09,0.0547945205479452,0.12876254180602006,0.2112676056338028,0.0706713780918728,0.29001468428781346,0.7322834645669292,0.13772455089820362,0.4923076923076922,0.6
